Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts","7","Angola","5113","Opening stocks","661","Cocoa, beans","2016","2016","tonnes","82","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5113","Opening stocks","661","Cocoa, beans","2017","2017","tonnes","82","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5113","Opening stocks","661","Cocoa, beans","2018","2018","tonnes","82","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5510","Production","661","Cocoa, beans","2014","2014","tonnes","419","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5510","Production","661","Cocoa, beans","2015","2015","tonnes","436","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5510","Production","661","Cocoa, beans","2016","2016","tonnes","455","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5510","Production","661","Cocoa, beans","2017","2017","tonnes","472","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5510","Production","661","Cocoa, beans","2018","2018","tonnes","454","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5610","Import Quantity","661","Cocoa, beans","2014","2014","tonnes","0","*","Unofficial figure"
"SCL","Supply Utilization Accounts","7","Angola","5610","Import Quantity","661","Cocoa, beans","2015","2015","tonnes","0","X","International reliable sources"
"SCL","Supply Utilization Accounts","7","Angola","5610","Import Quantity","661","Cocoa, beans","2016","2016","tonnes","0","X","International reliable sources"
"SCL","Supply Utilization Accounts","7","Angola","5610","Import Quantity","661","Cocoa, beans","2017","2017","tonnes","1","*","Unofficial figure"
"SCL","Supply Utilization Accounts","7","Angola","5610","Import Quantity","661","Cocoa, beans","2018","2018","tonnes","6","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5071","Stock Variation","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5071","Stock Variation","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5071","Stock Variation","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5071","Stock Variation","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5071","Stock Variation","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5023","Processed","661","Cocoa, beans","2014","2014","tonnes","420","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5023","Processed","661","Cocoa, beans","2015","2015","tonnes","436","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5023","Processed","661","Cocoa, beans","2016","2016","tonnes","455","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5023","Processed","661","Cocoa, beans","2017","2017","tonnes","473","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5023","Processed","661","Cocoa, beans","2018","2018","tonnes","460","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5166","Residuals","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5166","Residuals","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5166","Residuals","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5166","Residuals","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5166","Residuals","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5113","Opening stocks","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5113","Opening stocks","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5113","Opening stocks","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5113","Opening stocks","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5113","Opening stocks","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5610","Import Quantity","661","Cocoa, beans","2014","2014","tonnes","0","","Official data"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5610","Import Quantity","661","Cocoa, beans","2015","2015","tonnes","0","","Official data"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5610","Import Quantity","661","Cocoa, beans","2016","2016","tonnes","0","","Official data"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5610","Import Quantity","661","Cocoa, beans","2017","2017","tonnes","0","","Official data"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5610","Import Quantity","661","Cocoa, beans","2018","2018","tonnes","1","","Official data"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5071","Stock Variation","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5071","Stock Variation","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5071","Stock Variation","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5071","Stock Variation","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5071","Stock Variation","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5165","Other uses (non-food)","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5165","Other uses (non-food)","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5165","Other uses (non-food)","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5165","Other uses (non-food)","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5165","Other uses (non-food)","661","Cocoa, beans","2018","2018","tonnes","1","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5166","Residuals","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5166","Residuals","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5166","Residuals","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5166","Residuals","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5166","Residuals","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5113","Opening stocks","661","Cocoa, beans","2014","2014","tonnes","51","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5113","Opening stocks","661","Cocoa, beans","2015","2015","tonnes","51","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5113","Opening stocks","661","Cocoa, beans","2016","2016","tonnes","51","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5113","Opening stocks","661","Cocoa, beans","2017","2017","tonnes","51","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5113","Opening stocks","661","Cocoa, beans","2018","2018","tonnes","51","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5610","Import Quantity","661","Cocoa, beans","2014","2014","tonnes","237","","Official data"
"SCL","Supply Utilization Accounts","9","Argentina","5610","Import Quantity","661","Cocoa, beans","2015","2015","tonnes","299","","Official data"
"SCL","Supply Utilization Accounts","9","Argentina","5610","Import Quantity","661","Cocoa, beans","2016","2016","tonnes","292","","Official data"
"SCL","Supply Utilization Accounts","9","Argentina","5610","Import Quantity","661","Cocoa, beans","2017","2017","tonnes","345","","Official data"
"SCL","Supply Utilization Accounts","9","Argentina","5610","Import Quantity","661","Cocoa, beans","2018","2018","tonnes","452","","Official data"
"SCL","Supply Utilization Accounts","9","Argentina","5071","Stock Variation","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5071","Stock Variation","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5071","Stock Variation","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5071","Stock Variation","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5071","Stock Variation","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5023","Processed","661","Cocoa, beans","2014","2014","tonnes","237","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5023","Processed","661","Cocoa, beans","2015","2015","tonnes","299","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5023","Processed","661","Cocoa, beans","2016","2016","tonnes","292","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5023","Processed","661","Cocoa, beans","2017","2017","tonnes","345","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5023","Processed","661","Cocoa, beans","2018","2018","tonnes","452","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5166","Residuals","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5166","Residuals","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5166","Residuals","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5166","Residuals","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","9","Argentina","5166","Residuals","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5113","Opening stocks","661","Cocoa, beans","2014","2014","tonnes","339","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5113","Opening stocks","661","Cocoa, beans","2015","2015","tonnes","2029","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5113","Opening stocks","661","Cocoa, beans","2016","2016","tonnes","2286","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5113","Opening stocks","661","Cocoa, beans","2017","2017","tonnes","2947","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5113","Opening stocks","661","Cocoa, beans","2018","2018","tonnes","4099","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5610","Import Quantity","661","Cocoa, beans","2014","2014","tonnes","1705","","Official data"
"SCL","Supply Utilization Accounts","1","Armenia","5610","Import Quantity","661","Cocoa, beans","2015","2015","tonnes","1143","","Official data"
"SCL","Supply Utilization Accounts","1","Armenia","5610","Import Quantity","661","Cocoa, beans","2016","2016","tonnes","1474","","Official data"
"SCL","Supply Utilization Accounts","1","Armenia","5610","Import Quantity","661","Cocoa, beans","2017","2017","tonnes","2049","","Official data"
"SCL","Supply Utilization Accounts","1","Armenia","5610","Import Quantity","661","Cocoa, beans","2018","2018","tonnes","1401","","Official data"
"SCL","Supply Utilization Accounts","1","Armenia","5071","Stock Variation","661","Cocoa, beans","2014","2014","tonnes","1690","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5071","Stock Variation","661","Cocoa, beans","2015","2015","tonnes","257","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5071","Stock Variation","661","Cocoa, beans","2016","2016","tonnes","661","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5071","Stock Variation","661","Cocoa, beans","2017","2017","tonnes","1152","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5071","Stock Variation","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5910","Export Quantity","661","Cocoa, beans","2014","2014","tonnes","16","","Official data"
"SCL","Supply Utilization Accounts","1","Armenia","5166","Residuals","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5166","Residuals","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5166","Residuals","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5166","Residuals","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5166","Residuals","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","1","Armenia","5141","Food supply quantity (tonnes)","661","Cocoa, beans","2015","2015","tonnes","886","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5141","Food supply quantity (tonnes)","661","Cocoa, beans","2016","2016","tonnes","812","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5141","Food supply quantity (tonnes)","661","Cocoa, beans","2017","2017","tonnes","898","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5141","Food supply quantity (tonnes)","661","Cocoa, beans","2018","2018","tonnes","1401","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","664","Food supply (kcal/capita/day)","661","Cocoa, beans","2015","2015","kcal/capita/day","3","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","664","Food supply (kcal/capita/day)","661","Cocoa, beans","2016","2016","kcal/capita/day","3","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","664","Food supply (kcal/capita/day)","661","Cocoa, beans","2017","2017","kcal/capita/day","3","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","664","Food supply (kcal/capita/day)","661","Cocoa, beans","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","665","Food supply quantity (g/capita/day)","661","Cocoa, beans","2015","2015","g/capita/day","1","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","665","Food supply quantity (g/capita/day)","661","Cocoa, beans","2016","2016","g/capita/day","1","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","665","Food supply quantity (g/capita/day)","661","Cocoa, beans","2017","2017","g/capita/day","1","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","665","Food supply quantity (g/capita/day)","661","Cocoa, beans","2018","2018","g/capita/day","1","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","674","Protein supply quantity (g/capita/day)","661","Cocoa, beans","2015","2015","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","674","Protein supply quantity (g/capita/day)","661","Cocoa, beans","2016","2016","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","674","Protein supply quantity (g/capita/day)","661","Cocoa, beans","2017","2017","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","674","Protein supply quantity (g/capita/day)","661","Cocoa, beans","2018","2018","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","684","Fat supply quantity (g/capita/day)","661","Cocoa, beans","2015","2015","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","684","Fat supply quantity (g/capita/day)","661","Cocoa, beans","2016","2016","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","684","Fat supply quantity (g/capita/day)","661","Cocoa, beans","2017","2017","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","684","Fat supply quantity (g/capita/day)","661","Cocoa, beans","2018","2018","g/capita/day","1","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","261","Calories/Year","661","Cocoa, beans","2015","2015","million kcal","3667","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","261","Calories/Year","661","Cocoa, beans","2016","2016","million kcal","3362","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","261","Calories/Year","661","Cocoa, beans","2017","2017","million kcal","3717","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","261","Calories/Year","661","Cocoa, beans","2018","2018","million kcal","5802","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","271","Proteins/Year","661","Cocoa, beans","2015","2015","tonnes","35","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","271","Proteins/Year","661","Cocoa, beans","2016","2016","tonnes","32","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","271","Proteins/Year","661","Cocoa, beans","2017","2017","tonnes","36","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","271","Proteins/Year","661","Cocoa, beans","2018","2018","tonnes","56","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","281","Fats/Year","661","Cocoa, beans","2015","2015","tonnes","354","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","281","Fats/Year","661","Cocoa, beans","2016","2016","tonnes","325","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","281","Fats/Year","661","Cocoa, beans","2017","2017","tonnes","359","Fc","Calculated data"
"SCL","Supply Utilization Accounts","1","Armenia","281","Fats/Year","661","Cocoa, beans","2018","2018","tonnes","561","Fc","Calculated data"
"SCL","Supply Utilization Accounts","10","Australia","5113","Opening stocks","661","Cocoa, beans","2014","2014","tonnes","57","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","10","Australia","5113","Opening stocks","661","Cocoa, beans","2015","2015","tonnes","57","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","10","Australia","5113","Opening stocks","661","Cocoa, beans","2016","2016","tonnes","57","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","10","Australia","5113","Opening stocks","661","Cocoa, beans","2017","2017","tonnes","57","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","10","Australia","5113","Opening stocks","661","Cocoa, beans","2018","2018","tonnes","57","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","10","Australia","5610","Import Quantity","661","Cocoa, beans","2014","2014","tonnes","387","","Official data"
"SCL","Supply Utilization Accounts","10","Australia","5610","Import Quantity","661","Cocoa, beans","2015","2015","tonnes","494","","Official data"
"SCL","Supply Utilization Accounts","10","Australia","5610","Import Quantity","661","Cocoa, beans","2016","2016","tonnes","665","","Official data"
"SCL","Supply Utilization Accounts","10","Australia","5610","Import Quantity","661","Cocoa, beans","2017","2017","tonnes","544","","Official data"
"SCL","Supply Utilization Accounts","10","Australia","5610","Import Quantity","661","Cocoa, beans","2018","2018","tonnes","601","","Official data"
"SCL","Supply Utilization Accounts","10","Australia","5071","Stock Variation","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","10","Australia","5071","Stock Variation","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","10","Australia","5071","Stock Variation","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","10","Australia","5071","Stock Variation","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","10","Australia","5071","Stock Variation","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
