Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1995","1995","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1996","1996","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1997","1997","1000 Int. $","246","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1998","1998","1000 Int. $","213","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1999","1999","1000 Int. $","147","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2000","2000","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2001","2001","1000 Int. $","293","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2002","2002","1000 Int. $","280","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2003","2003","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2004","2004","1000 Int. $","327","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2005","2005","1000 Int. $","356","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2006","2006","1000 Int. $","391","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2007","2007","1000 Int. $","437","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2008","2008","1000 Int. $","465","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2009","2009","1000 Int. $","494","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2010","2010","1000 Int. $","521","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2011","2011","1000 Int. $","547","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2012","2012","1000 Int. $","589","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2013","2013","1000 Int. $","603","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2014","2014","1000 Int. $","615","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2015","2015","1000 Int. $","631","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2016","2016","1000 Int. $","658","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2017","2017","1000 Int. $","680","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2018","2018","1000 Int. $","702","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2019","2019","1000 Int. $","724","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1961","1961","1000 Int. $","25","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1962","1962","1000 Int. $","3","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1963","1963","1000 Int. $","85","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1964","1964","1000 Int. $","74","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1965","1965","1000 Int. $","81","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1966","1966","1000 Int. $","29","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1967","1967","1000 Int. $","37","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1968","1968","1000 Int. $","52","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1969","1969","1000 Int. $","18","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1970","1970","1000 Int. $","25","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1971","1971","1000 Int. $","29","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1972","1972","1000 Int. $","37","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1973","1973","1000 Int. $","54","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1974","1974","1000 Int. $","59","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1975","1975","1000 Int. $","62","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1976","1976","1000 Int. $","62","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1977","1977","1000 Int. $","66","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1978","1978","1000 Int. $","66","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1979","1979","1000 Int. $","66","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1980","1980","1000 Int. $","65","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1981","1981","1000 Int. $","65","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1982","1982","1000 Int. $","62","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1983","1983","1000 Int. $","60","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1984","1984","1000 Int. $","81","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1985","1985","1000 Int. $","94","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1986","1986","1000 Int. $","118","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1987","1987","1000 Int. $","97","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1988","1988","1000 Int. $","84","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1989","1989","1000 Int. $","122","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1990","1990","1000 Int. $","246","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1991","1991","1000 Int. $","134","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1992","1992","1000 Int. $","210","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1993","1993","1000 Int. $","106","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1994","1994","1000 Int. $","35","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1995","1995","1000 Int. $","50","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1996","1996","1000 Int. $","81","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1997","1997","1000 Int. $","124","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1998","1998","1000 Int. $","132","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1999","1999","1000 Int. $","34","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2000","2000","1000 Int. $","44","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2001","2001","1000 Int. $","44","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2002","2002","1000 Int. $","37","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2003","2003","1000 Int. $","60","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2004","2004","1000 Int. $","59","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2005","2005","1000 Int. $","32","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2006","2006","1000 Int. $","63","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2007","2007","1000 Int. $","37","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2008","2008","1000 Int. $","74","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2009","2009","1000 Int. $","57","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2010","2010","1000 Int. $","38","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2011","2011","1000 Int. $","38","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2012","2012","1000 Int. $","100","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2013","2013","1000 Int. $","97","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2014","2014","1000 Int. $","110","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2015","2015","1000 Int. $","106","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2016","2016","1000 Int. $","125","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2017","2017","1000 Int. $","359","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2018","2018","1000 Int. $","162","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","2019","2019","1000 Int. $","162","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","1991","1991","1000 SLC","156","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","1992","1992","1000 SLC","226","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","1993","1993","1000 SLC","281","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","1994","1994","1000 SLC","97","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","1995","1995","1000 SLC","146","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","1996","1996","1000 SLC","241","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","1997","1997","1000 SLC","362","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","1998","1998","1000 SLC","394","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","1999","1999","1000 SLC","99","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2000","2000","1000 SLC","130","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2001","2001","1000 SLC","129","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2002","2002","1000 SLC","110","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2003","2003","1000 SLC","181","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2004","2004","1000 SLC","170","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2005","2005","1000 SLC","89","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2006","2006","1000 SLC","194","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2007","2007","1000 SLC","136","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2008","2008","1000 SLC","251","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2009","2009","1000 SLC","190","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2010","2010","1000 SLC","127","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2011","2011","1000 SLC","141","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2012","2012","1000 SLC","417","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2013","2013","1000 SLC","404","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2014","2014","1000 SLC","474","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2015","2015","1000 SLC","498","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2016","2016","1000 SLC","649","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2017","2017","1000 SLC","1920","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","56","Gross Production Value (current thousand SLC)","661","Cocoa, beans","2018","2018","1000 SLC","868","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1961","1961","1000 SLC","118","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1962","1962","1000 SLC","14","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1963","1963","1000 SLC","404","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1964","1964","1000 SLC","348","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1965","1965","1000 SLC","383","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1966","1966","1000 SLC","139","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1967","1967","1000 SLC","174","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1968","1968","1000 SLC","244","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1969","1969","1000 SLC","83","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1970","1970","1000 SLC","118","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1971","1971","1000 SLC","139","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1972","1972","1000 SLC","174","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1973","1973","1000 SLC","257","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1974","1974","1000 SLC","278","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1975","1975","1000 SLC","292","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1976","1976","1000 SLC","292","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1977","1977","1000 SLC","313","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1978","1978","1000 SLC","313","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","55","Gross Production Value (constant 2014-2016 thousand SLC)","661","Cocoa, beans","1979","1979","1000 SLC","313","Fc","Calculated data"
